0,008
0,006
0,005
0,004
0,008
0,003
0,002
0,002
0,002
0,002
0,001
0,001
0,001
0,001
0,001
0,003
0,002
0,003
0,029
0,002
0,001
0,005
0,001
0,001
0,001
0,001
0,001
0,002
0,001
0,002
0,002
0,003
0,001
0,001
0,001
0,002
0,001
0,001
0,001
0,001
0,031
0,006
0,006
0,007
0,008
0,006
0,007
0,006
0,010
0,006
1:55,05
0,004
0,004
0,004
0,004
0,002
0,002
0,002
0,001
0,001
0,001
0,001
0,001
0,001
0,002
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
